CityName,YY,MM,TempValue
雲林縣,2015,1,16.9125
雲林縣,2015,2,17.9315
雲林縣,2015,3,20.8448
雲林縣,2015,4,24.1389
雲林縣,2015,5,27.1877
雲林縣,2015,6,29.8623
雲林縣,2015,7,28.7291
雲林縣,2015,8,27.899
雲林縣,2015,9,27.6689
雲林縣,2015,10,25.9732
雲林縣,2015,11,24.2067
雲林縣,2015,12,19.8299
雲林縣,2016,1,16.4989
雲林縣,2016,2,16.1271
雲林縣,2016,3,18.241
雲林縣,2016,4,24.8744
雲林縣,2016,5,27.4748
雲林縣,2016,6,29.0878
雲林縣,2016,7,29.4098
雲林縣,2016,8,29.0507
雲林縣,2016,9,27.4134
雲林縣,2016,10,26.996
雲林縣,2016,11,23.1291
雲林縣,2016,12,19.8775
雲林縣,2017,1,18.2607
雲林縣,2017,2,17.1395
雲林縣,2017,3,19.9857
雲林縣,2017,4,23.5057
雲林縣,2017,5,26.5729
雲林縣,2017,6,28.8531
雲林縣,2017,7,29.2911
雲林縣,2017,8,29.4514
雲林縣,2017,9,29.132
雲林縣,2017,10,26.0069
雲林縣,2017,11,22.5868
雲林縣,2017,12,18.0376
